base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,5,pca.model,0.8161538516395888
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,10,pca.model,0.8169550741672071
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,25,pca.model,0.7812538429778155
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,50,pca.model,0.8449786573049446
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,100,pca.model,0.8567579143681769
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,150,pca.model,0.8633365179281134
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.870662344749305
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,1,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8698013069698805
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.870662344749305
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,3,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8654411568403627
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,4,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8651493412154088
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,5,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8626690834607236
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,10,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8579113116402765
0.5,gbtree,1,1,0.5,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.864688097198625
0.5,gbtree,1,1,0.3,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8682298317821897
0.5,gbtree,1,1,0.2,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.870662344749305
0.5,gbtree,1,1,0.1,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8692319488484793
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8696368889594315
0.5,gbtree,1,1,0.02,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8678751076577657
0.5,gbtree,1,1,0.01,"['logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,pca.model,0.8464057288143245
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8721710983920543
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.01,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8721710983920543
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.05,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8721710983920543
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.1,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8721710983920543
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.2,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8721710983920543
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.3,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8721710983920543
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.4,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8723009366129583
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.5,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8721085638016424
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.75,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8710840155910287
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",1.0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8701581249850308
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",3.0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8612232281199245
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",10.0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.856006041037906
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",20.0,0.1,0,2,1,,100,1,binary:logistic,0,1,0.11111882721407787,42,0,1,0,200,gamma.model,0.8557148066715792
0.5,gbtree,1,1,0.02,"['logloss', 'auc']",0.4,0.1,0,1,1,,100,4,binary:logistic,0,1,0.11,42,0,1,0,200,long.model,0.8737643078935514
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.4,0.1,0,2,1,,100,4,binary:logistic,0,1,1,42,0,1,0,200,long22.model,0.8628765180087418
0.5,gbtree,1,1,0.05,"['logloss', 'auc']",0.4,0.1,0,2,1,,100,4,binary:logistic,0,1,0.11,42,0,1,0,200,oversampling_eta.model,0.839303723955424
