base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,8,1,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8559234649219698
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,8,3,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8536791845731432
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,8,5,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8541463975381665
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,8,7,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8560947934516505
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,6,1,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8582564195035561
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,6,3,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8584857039372712
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,6,5,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.859355956875396
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,6,7,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8594040857695441
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,4,1,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8626161311397236
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,4,3,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8622958814304736
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,4,5,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8626052265919146
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,4,7,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8630738128229338
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8646230846109085
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,3,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8651476960155522
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,5,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8650906204973914
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,7,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8654371764084784
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,1,1,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8653093301031036
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,1,3,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8653093301031036
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,1,5,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8653093301031036
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,1,7,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8653093301031036
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,6,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8653443925752512
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,7,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8654208637760173
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,8,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.865469580727139
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,9,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8653736152677429
0.5,gbtree,1,1,0.1,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,1,0,200,testtest.model,0.8656216393436248
