base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8775629417943722
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,1,,100,1,binary:logistic,0,1,1,0,0,1,0,200,new.model,0.8758529027080268
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,0.5,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8965388231032914
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8965388231032914
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,2,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8965388231032914
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,4,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8965388231032914
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,6,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8965388231032914
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969629821398396
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,10,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8964073294850113
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,1,12,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8969577372155038
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,0.5,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8931353226985757
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8931408157625591
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,2,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8929439900342766
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,4,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8934273354755784
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,6,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8926466439544334
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8924970939278115
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8930090910004977
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,12,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8931483075404182
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,0.5,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8896942138409426
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8894117527407925
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,2,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8889960338514419
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,4,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8890233530069098
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,6,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8883661296559844
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8882974153685909
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,10,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8885412448646735
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,3,12,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8879071188960307
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,0.5,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8836518638540556
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8834791824534186
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,2,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8830721348550472
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,4,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8840511205473218
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,6,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8838700023986606
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,8,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8834800696376389
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,10,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8832167220887137
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,4,12,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8837128620181554
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,0.5,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8778137056038995
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,1,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8775629417943722
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,2,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8782636167770439
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,4,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8771095430694661
0.5,gbtree,1,1,0.2,"['error', 'logloss', 'auc']",0,0.1,0,5,6,,100,1,binary:logistic,0,1,9,0,0,1,0,200,new.model,0.8778575889306494
